Name,Username,Email,Password,School,GraduationYear,EducationLevel,Major,numhacks,profileimg
DM2UNG,DM2UNG,DM2UNG@gmail.com,DM2UNG,Alabama A & M University,2020,Graduate,['information technologies'],8,['https://i2.wp.com/tricksmaze.com/wp-content/uploads/2017/10/Stylish-Girls-Profile-Pictures-1.png?resize=300%2C300&ssl=1']
ARFFH6,ARFFH6,ARFFH6@gmail.com,ARFFH6,University of Alabama at Birmingham,2020,PhD,['business'],9,['https://static1.squarespace.com/static/55198f1ce4b00c2cab3e5e30/t/5526d4c0e4b0930deae8978d/1428608208846/600x600%26text%3Dprofile+img.gif']
LBYCFV,LBYCFV,LBYCFV@gmail.com,LBYCFV,University of Alabama at Birmingham,2020,Undergrad,['journalism'],3,['https://sguru.org/wp-content/uploads/2017/06/sexy-girl-dp.jpg']
WZMXU4,WZMXU4,WZMXU4@gmail.com,WZMXU4,University of Alabama at Birmingham,2018,PhD,['computer engineering'],3,['https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwirsqrumMLbAhVux1kKHWq7CpoQjRx6BAgBEAU&url=https%3A%2F%2Fwww.ziglar.com%2Fmichelle-prince%2F&psig=AOvVaw1mX6vij-7hyeXyziLwIsXS&ust=1528482953750221']
AFWSNT,AFWSNT,AFWSNT@gmail.com,AFWSNT,University of Alabama at Huntsville,2021,Undergrad,['biology'],2,['https://cdn.imaginetricks.com/wp-content/uploads/2017/08/Lovely-Girls-Cool-Profile-Pictures.jpg']
LSC4BR,LSC4BR,LSC4BR@gmail.com,LSC4BR,University of Alabama at Birmingham,2018,Undergrad,['film'],9,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcRZyhoIa_nPHxYVJrZBC0cSM6lf7sSY_V3AI0eGAblufywXT_ug']
PDTLSZ,PDTLSZ,PDTLSZ@gmail.com,PDTLSZ,University of Alabama at Birmingham,2018,Highschool,['biotechnology'],4,['https://static1.squarespace.com/static/55198f1ce4b00c2cab3e5e30/t/5526d4c0e4b0930deae8978d/1428608208846/600x600%26text%3Dprofile+img.gif']
01L9ZL,01L9ZL,01L9ZL@gmail.com,01L9ZL,Amridge University,2019,Undergrad,['biotechnology'],7,['https://sguru.org/wp-content/uploads/2017/06/sexy-girl-dp.jpg']
DVRMWG,DVRMWG,DVRMWG@gmail.com,DVRMWG,University of Alabama at Birmingham,2020,Highschool,['journalism'],2,['https://cdn.imaginetricks.com/wp-content/uploads/2017/08/Lovely-Girls-Cool-Profile-Pictures.jpg']
Y4K2QY,Y4K2QY,Y4K2QY@gmail.com,Y4K2QY,University of Alabama at Birmingham,2019,PhD,['management'],6,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcRZyhoIa_nPHxYVJrZBC0cSM6lf7sSY_V3AI0eGAblufywXT_ug']
